                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2017,                 1.8324,                 1.2733,                0.10623,                0.16458,                0.08877,                0.05724,                    nan,                    nan,                    nan,              1.785e-05,              1.785e-05,              1.785e-05
                      1,                  1.235,                 1.5358,                 1.2562,                0.11464,                0.15774,                 0.0872,                0.05555,                    nan,                    nan,                    nan,             3.4607e-05,             3.4607e-05,             3.4607e-05
                      2,                  1.194,                 1.4581,                 1.2287,                0.11643,                0.15902,                0.09137,                0.05832,                    nan,                    nan,                    nan,             4.9009e-05,             4.9009e-05,             4.9009e-05
                      3,                 1.2102,                 1.4109,                 1.2281,                0.14348,                0.15168,                0.10514,                0.06953,                    nan,                    nan,                    nan,             6.1054e-05,             6.1054e-05,             6.1054e-05
                      4,                 1.2273,                 1.3584,                 1.2433,                0.16855,                0.14748,                0.10414,                0.06872,                    nan,                    nan,                    nan,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      5,                 1.1423,                 1.2376,                 1.2064,                0.15333,                0.14935,                0.10567,                   0.07,                    nan,                    nan,                    nan,             7.8075e-05,             7.8075e-05,             7.8075e-05
                      6,                 1.1583,                 1.3564,                  1.176,                0.10625,                0.20708,                0.10225,                0.06802,                    nan,                    nan,                    nan,             7.4821e-05,             7.4821e-05,             7.4821e-05
                      7,                 1.1775,                  1.388,                 1.2163,                0.11116,                0.19087,                0.09248,                0.06202,                    nan,                    nan,                    nan,             7.4821e-05,             7.4821e-05,             7.4821e-05
                      8,                 1.1655,                 1.2799,                 1.2187,                0.10979,                0.21273,                0.09722,                0.06479,                    nan,                    nan,                    nan,             6.7458e-05,             6.7458e-05,             6.7458e-05
                      9,                 1.0979,                 1.2482,                 1.1665,                0.11433,                0.21049,                0.10017,                0.06815,                    nan,                    nan,                    nan,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     10,                 1.1273,                 1.2624,                 1.1884,                0.11264,                0.21345,                0.10398,                0.07053,                    nan,                    nan,                    nan,             5.2732e-05,             5.2732e-05,             5.2732e-05
                     11,                 1.1173,                 1.2387,                 1.2038,                0.12987,                0.23228,                0.10835,                0.07356,                    nan,                    nan,                    nan,             4.5369e-05,             4.5369e-05,             4.5369e-05
                     12,                 1.0867,                 1.2272,                 1.1521,                0.12738,                0.24184,                0.10751,                0.07518,                    nan,                    nan,                    nan,             3.8006e-05,             3.8006e-05,             3.8006e-05
                     13,                  1.108,                 1.1623,                 1.1449,                 0.1354,                0.22781,                0.10728,                0.07304,                    nan,                    nan,                    nan,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     14,                 1.0888,                  1.105,                  1.154,                0.12798,                0.23694,                0.10646,                0.07356,                    nan,                    nan,                    nan,             2.3279e-05,             2.3279e-05,             2.3279e-05
                     15,                 1.1169,                 1.1825,                 1.1708,                0.13435,                0.23319,                0.10441,                0.07193,                    nan,                    nan,                    nan,             1.5916e-05,             1.5916e-05,             1.5916e-05
