                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.612,                 2.9271,                 1.4623,                0.26556,                0.11367,                0.09188,                0.04103,                    nan,                    nan,                    nan,             0.00020732,             0.00020732,             0.00020732
                      1,                 1.5958,                 2.1928,                 1.4774,                0.32849,                0.10804,                0.08476,                0.03689,                    nan,                    nan,                    nan,             0.00040743,             0.00040743,             0.00040743
                      2,                 1.6345,                   2.24,                 1.5126,                0.44325,                0.10226,                0.10174,                0.04561,                    nan,                    nan,                    nan,             0.00059928,             0.00059928,             0.00059928
                      3,                 1.6174,                 2.1555,                 1.5046,                0.37257,                0.12827,                0.11156,                0.05084,                    nan,                    nan,                    nan,             0.00058787,             0.00058787,             0.00058787
                      4,                 1.5948,                 2.0607,                 1.4855,                0.32901,                0.15525,                0.11826,                0.05073,                    nan,                    nan,                    nan,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.5769,                 2.0069,                 1.4682,                0.29297,                0.12457,                0.10624,                0.04557,                    nan,                    nan,                    nan,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.5621,                 1.9463,                  1.458,                 0.4627,                0.13369,                0.12556,                0.05737,                    nan,                    nan,                    nan,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.5428,                 1.8954,                 1.4448,                0.36468,                0.15884,                0.11978,                0.05409,                    nan,                    nan,                    nan,             0.00055075,             0.00055075,             0.00055075
                      8,                   1.52,                 1.8518,                 1.4285,                0.37626,                0.14097,                0.11705,                0.05293,                    nan,                    nan,                    nan,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.5188,                 1.8215,                 1.4299,                0.41633,                0.16635,                 0.1445,                0.06444,                    nan,                    nan,                    nan,               0.000526,               0.000526,               0.000526
